Survey Language,Timestamp,Age,Gender,Preferred Languages,Current Occupation,Last School Attended,Highest Educational Attainment,Associate Program,Undergraduate Program D,Graduate Program D,Postgraduate Program D,Undergraduate Program M,Graduate Program M,Undergraduate Program B,PREI01,PREI02,PREI03,PREI04,PREI05,PREI06,PREI07,PREI08,PREI09,PREI10,QPREK01,QPREK02,QPREK03,QPREK04,QPREK05,QPREK06,QPREK07,QPREK08,QPREK09,QPREK10,QPREK11,QPREK12,QPREK13,QPREK14,QPREK15,QPREK16,POSTI01,POSTI02,POSTI03,POSTI04,POSTI05,POSTI06,POSTI07,POSTI08,POSTI09,POSTI10,QPOSTK01,QPOSTK02,QPOSTK03,QPOSTK04,QPOSTK05,QPOSTK06,QPOSTK07,QPOSTK08,QPOSTK09,QPOSTK10,QPOSTK11,QPOSTK12,QPOSTK13,QPOSTK14,QPOSTK15,QPOSTK16,FB01,FB02,FB03,FB04,FB05,FB06,BUGS,FB07,FB08,FB09,FB10,FB11,Other Comments/Suggestions,PRE Interest,POST Interest,PRE Knowledge,POST Knowledge,,,,,,,PREK01,PREK02,PREK03,PREK04,PREK05,PREK06,PREK07,PREK08,PREK09,PREK10,PREK11,PREK12,PREK13,PREK14,PREK15,PREK16,POSTK01,POSTK02,POSTK03,POSTK04,POSTK05,POSTK06,POSTK07,POSTK08,POSTK09,POSTK10,POSTK11,POSTK12,POSTK13,POSTK14,POSTK15,POSTK16
,,,,,,,,,,,,,,,121,155,131,103,156,155,148,131,99,97,35,36,30,37,33,28,36,31,35,36,36,36,35,36,36,36,149,157,150,149,172,170,163,153,108,109,37,37,30,36,35,24,37,31,36,37,37,37,35,37,37,35,169,175,173,170,175,176,,166,171,163,153,147,,1296,1480,552,558,,,,,,,35,36,30,37,33,28,36,31,35,36,36,36,35,36,36,36,37,37,30,36,35,24,37,31,36,37,37,37,35,37,37,35
ENG,6/28/2023 12:58:40,21,Male,English,Student,UP Diliman,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Computer Science,4,5,4,4,4,4,5,5,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will wait for someone to contact me and I will provide the OTP only if necessary.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,4,4,4,5,5,5,5,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will wait for someone to contact me and I will provide the OTP only if necessary.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,,5,5,5,5,3,,41,43,15,15,,,,,,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
ENG,6/28/2023 13:04:31,20,Male,"Filipino, Bisaya",Student,UP Diliman,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Food Technology,1,4,2,1,2,3,2,1,1,1,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will inform my friends and family regarding the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Double-checking the accuracy of website links before accessing it.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,4,4,4,4,4,4,4,4,4,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will inform my friends and family regarding the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Double-checking the accuracy of website links before accessing it.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,5,5,5,5,5,,4,4,2,2,1,,18,40,14,14,,,,,,,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
ENG,6/28/2023 13:14:18,22,Male,"Filipino, English",Student,UP Diliman,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Applied Physics,3,5,2,1,3,4,4,4,2,2,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",Hacking into a user's device and monitoring what they type.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,3,3,5,5,5,5,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,4,4,4,4,4,,4,4,4,4,4,,30,42,15,16,,,,,,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENG,6/28/2023 13:16:18,22,Male,English,Student,LPU Laguna,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Industrial Engineering,4,5,3,3,5,5,4,4,4,5,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will wait for someone to contact me and I will provide the OTP only if necessary.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,5,5,5,5,5,5,5,5,5,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Double-checking the accuracy of website links before accessing it.,I keep the OTP a secret and enter it into sites I trust.,I will wait for someone to contact me and I will provide the OTP only if necessary.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,,5,5,5,5,5,,42,49,15,14,,,,,,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
ENG,6/28/2023 13:17:55,22,Female,"Filipino, English",Student,UPLB,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Chemistry,3,4,3,4,5,5,4,4,3,2,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,4,5,5,5,5,5,4,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,,5,5,5,5,4,,37,43,16,16,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENG,6/28/2023 13:18:28,16,Female,English,Student,Iloilo Science and Technology University,High school,,,,,,,,3,3,4,2,3,4,5,2,3,2,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will NOT use the account since it has been compromised in a data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",Hacking into a user's device and monitoring what they type.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,A type of advertising that utilizes targeted phone calls to promote products or services.,Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,2,1,2,3,1,3,2,2,3,2,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will NOT use the account since it has been compromised in a data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",Hacking into a user's device and monitoring what they type.,Double-checking the accuracy of website links before accessing it.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,A type of advertising that utilizes targeted phone calls to promote products or services.,Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,2,2,3,3,2,2,,2,2,4,3,3,,31,21,13,12,,,,,,,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1
ENG,6/28/2023 13:24:50,22,Female,English,Student,BatStateU TNEU ,"Undergraduate (e.g., BA, BBA, BS)",,,,,,`,BS Industrial Engineering,5,5,4,3,5,5,5,5,3,3,"An email from a reputable online store, offering a limited-time discount on a popular product.",Report it as spam or phishing and immediately delete it.,I will inform my friends and family regarding the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Hovering your mouse over a link to verify the true website link.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,A type of advertising that utilizes targeted phone calls to promote products or services.,Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,5,5,4,4,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will inform my friends and family regarding the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Hovering your mouse over a link to verify the true website link.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,A type of advertising that utilizes targeted phone calls to promote products or services.,Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,3,5,5,,4,4,4,4,3,,43,48,12,13,,,,,,,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1
ENG,6/28/2023 15:11:59,22,Male,"Filipino, English",Unemployed,Colegio de San Juan de Letran - Manila,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,AB Political Science,2,3,3,2,3,4,5,4,2,2,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Double-checking the accuracy of website links before accessing it.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,4,4,3,5,5,5,5,2,2,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Double-checking the accuracy of website links before accessing it.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,N/A,5,5,5,5,5,,30,39,15,15,,,,,,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
ENG,6/28/2023 15:17:33,12,Male,English,Student,Don Bosco Technical Institute of Makati,High school,,,,,,,,2,3,2,1,5,5,5,5,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Recognizing a warped or distorted text,4,3,2,3,5,5,5,5,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will NOT use the account since it has been compromised in a data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Recognizing a warped or distorted text,5,5,4,5,5,5,,4,5,4,5,5,,34,38,15,14,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
